"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56013,96,2,55915,0.00171388784746398,0.0000357059968221663,0.998250406155714
"[40,45)",1,51133,131,1,51001,0.00256194629691197,0.0000195568419611601,0.997418496861127
"[45,50)",0,55695,186,0,55509,0.00333961755992459,0,0.996660382440075
"[45,50)",1,51791,294,3,51494,0.00567666196829565,0.0000579251221254658,0.994265412909579
"[50,55)",0,57331,391,8,56932,0.00682004500183147,0.000139540562697319,0.993040414435471
"[50,55)",1,53487,509,9,52969,0.00951633107110139,0.00016826518593303,0.990315403742966
"[55,60)",0,51875,709,21,51145,0.0136674698795181,0.000404819277108434,0.985927710843373
"[55,60)",1,47915,744,23,47148,0.0155274966085777,0.000480016696232912,0.983992486695189
"[60,65)",0,46867,1215,30,45622,0.0259244244351036,0.0006401092453112,0.973435466319585
"[60,65)",1,44127,1220,33,42874,0.0276474720692546,0.000747841457610986,0.971604686473134
"[65,70)",0,43054,2055,86,40913,0.0477307567241139,0.00199749152227435,0.950271751753612
"[65,70)",1,41032,1755,62,39215,0.0427714954182102,0.00151101579255215,0.955717488789238
"[70,75)",0,36481,2825,158,33498,0.0774375702420438,0.00433102162769661,0.91823140813026
"[70,75)",1,37416,2714,153,34549,0.0725358135556981,0.0040891597177678,0.923375026726534
"[75,80)",0,29487,3760,263,25464,0.127513819649337,0.00891918472547224,0.863566995625191
"[75,80)",1,31986,3958,287,27741,0.123741636966173,0.00897267554555118,0.867285687488276
"[80,120]",0,43286,8814,982,33490,0.203622418333872,0.0226863189021855,0.773691262763942
"[80,120]",1,64444,13325,1493,49626,0.20676866737012,0.0231674011544907,0.77006393147539
