"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56013,424,12,55577,0.00756967132629925,0.000214235980932998,0.992216092692768
"[40,45)",1,51133,799,17,50317,0.0156259167269669,0.000332466313339722,0.984041616959693
"[45,50)",0,55695,847,29,54819,0.0152078283508394,0.00052069306041835,0.984271478588742
"[45,50)",1,51791,1330,46,50415,0.0256801374756232,0.000888185205923809,0.973431677318453
"[50,55)",0,57331,1509,68,55754,0.0263208386387818,0.00118609478292721,0.972493066578291
"[50,55)",1,53487,2043,104,51340,0.0381961972067979,0.00194439770411502,0.959859405089087
"[55,60)",0,51875,2432,169,49274,0.0468819277108434,0.0032578313253012,0.949860240963855
"[55,60)",1,47915,2718,170,45027,0.0567254513200459,0.00354794949389544,0.939726599186059
"[60,65)",0,46867,3698,354,42815,0.0789041329720272,0.00755328909467216,0.913542577933301
"[60,65)",1,44127,3850,317,39960,0.0872481700546151,0.00718381036553584,0.905568019579849
"[65,70)",0,43054,5483,690,36881,0.127351697867794,0.0160263854694105,0.856621916662796
"[65,70)",1,41032,5090,564,35378,0.12404952232404,0.0137453694677325,0.862205108208228
"[70,75)",0,36481,7102,1059,28320,0.194676681012034,0.029028809517283,0.776294509470683
"[70,75)",1,37416,6679,1098,29639,0.178506521274321,0.0293457344451572,0.792147744280522
"[75,80)",0,29487,7995,1821,19671,0.271136433004375,0.0617560280801709,0.667107538915454
"[75,80)",1,31986,8509,1831,21646,0.26602263490277,0.057243794159945,0.676733570937285
"[80,120]",0,43286,16451,5827,21008,0.38005359700596,0.134616273159913,0.485330129834126
"[80,120]",1,64444,24806,8717,30921,0.384923344298926,0.135264725963627,0.479811929737446
