"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172517,35,0,172482,0.000202878556895842,0,0.999797121443104
"[40,45)",1,187351,60,0,187291,0.000320254495572482,0,0.999679745504428
"[45,50)",0,191647,49,0,191598,0.000255678408741071,0,0.999744321591259
"[45,50)",1,205987,102,0,205885,0.000495176880094375,0,0.999504823119906
"[50,55)",0,194280,92,0,194188,0.000473543339509986,0,0.99952645666049
"[50,55)",1,206261,131,0,206130,0.000635117642210597,0,0.999364882357789
"[55,60)",0,179016,145,1,178870,0.000809983465165125,0.00000558609286320776,0.999184430441972
"[55,60)",1,184086,178,1,183907,0.000966939365296655,0.00000543224362526211,0.999027628391078
"[60,65)",0,168743,229,1,168513,0.00135709333127893,0.00000592617175230973,0.998636980496969
"[60,65)",1,172071,271,5,171795,0.00157493127836765,0.0000290577726636098,0.998396010948969
"[65,70)",0,164314,319,3,163992,0.00194140487116131,0.0000182577260610782,0.998040337402778
"[65,70)",1,167680,363,2,167315,0.00216483778625954,0.0000119274809160305,0.997823234732824
"[70,75)",0,132931,449,8,132474,0.00337769218617177,0.0000601815979718801,0.996562126215856
"[70,75)",1,141998,537,5,141456,0.00378174340483669,0.0000352117635459654,0.996183044831617
"[75,80)",0,105409,648,6,104755,0.00614748266277073,0.0000569211357663957,0.993795596201463
"[75,80)",1,120512,753,11,119748,0.00624834041423261,0.0000912772172065852,0.993660382368561
"[80,120]",0,151034,1551,24,149459,0.0102692109061536,0.000158904617503344,0.989571884476343
"[80,120]",1,232841,2314,41,230486,0.00993811227404108,0.000176085826808852,0.98988580189915
