"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56013,177,9,55827,0.00315998071876172,0.000160676985699748,0.996679342295539
"[40,45)",1,51133,384,7,50742,0.00750982731308548,0.000136897893728121,0.992353274793186
"[45,50)",0,55695,329,5,55361,0.00590717299578059,0.0000897746655893707,0.99400305233863
"[45,50)",1,51791,651,19,51121,0.0125697515012261,0.000366859106794617,0.987063389391979
"[50,55)",0,57331,635,19,56677,0.0110760321640997,0.000331408836406133,0.988592558999494
"[50,55)",1,53487,979,37,52471,0.0183035130031596,0.000691756875502459,0.981004730121338
"[55,60)",0,51875,955,43,50877,0.0184096385542169,0.000828915662650602,0.980761445783133
"[55,60)",1,47915,1202,62,46651,0.0250860899509548,0.00129395805071481,0.97361995199833
"[60,65)",0,46867,1325,72,45470,0.0282714916679113,0.00153626218874688,0.970192246143342
"[60,65)",1,44127,1659,87,42381,0.037596029641716,0.00197158202461078,0.960432388333673
"[65,70)",0,43054,2029,119,40906,0.04712686393831,0.00276397082733312,0.950109165234357
"[65,70)",1,41032,2132,173,38727,0.0519594462858257,0.00421622148566972,0.943824332228505
"[70,75)",0,36481,2679,182,33620,0.0734354869658178,0.00498889833063787,0.921575614703544
"[70,75)",1,37416,3050,270,34096,0.0815159290143254,0.00721616420782553,0.911267906777849
"[75,80)",0,29487,3369,336,25782,0.114253738935802,0.0113948519686642,0.874351409095534
"[75,80)",1,31986,4196,448,27342,0.13118239229663,0.0140061276808604,0.85481148002251
"[80,120]",0,43286,7977,1073,34236,0.184285912304209,0.024788615256665,0.790925472439126
"[80,120]",1,64444,12947,1894,49603,0.200903109676618,0.0293898578610887,0.769707032462293
