"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172517,780,20,171717,0.00452129355367877,0.000115930603940481,0.995362775842381
"[40,45)",1,187351,1812,42,185497,0.00967168576628894,0.000224178146900737,0.99010413608681
"[45,50)",0,191647,1576,34,190037,0.00822345249338628,0.000177409508106049,0.991599137998508
"[45,50)",1,205987,3113,84,202790,0.0151126041934685,0.000407792724783603,0.984479603081748
"[50,55)",0,194280,2953,80,191247,0.0151997117562281,0.000411776816965205,0.984388511426807
"[50,55)",1,206261,4928,142,201191,0.0238920590901819,0.000688448131251182,0.975419492778567
"[55,60)",0,179016,5023,184,173809,0.0280589444518926,0.00102784108683023,0.970913214461277
"[55,60)",1,184086,6457,250,177379,0.0350759970883174,0.00135806090631553,0.963565942005367
"[60,65)",0,168743,8321,395,160027,0.0493116751509692,0.00234083784216234,0.948347487006868
"[60,65)",1,172071,9263,428,162380,0.0538324296366035,0.002487345340005,0.943680225023392
"[65,70)",0,164314,13039,801,150474,0.0793541633701328,0.00487481285830787,0.915771023771559
"[65,70)",1,167680,13309,839,153532,0.0793714217557252,0.00500357824427481,0.915625
"[70,75)",0,132931,16733,1360,114838,0.125877334857934,0.0102308716552196,0.863891793486847
"[70,75)",1,141998,18168,1461,122369,0.12794546402062,0.0102888773081311,0.861765658671249
"[75,80)",0,105409,20956,2371,82082,0.198806553520098,0.0224933354836874,0.778700110996215
"[75,80)",1,120512,24315,2704,93493,0.201764139670738,0.022437599575146,0.775798260754116
"[80,120]",0,151034,45913,7210,97911,0.303991154309626,0.0477375955082961,0.648271250182078
"[80,120]",1,232841,74756,10992,147093,0.321060294363965,0.047208180689827,0.631731524946208
